epoch,accuracy,loss,val_accuracy,val_loss
0,0.32827702164649963,2.978804111480713,0.3878517746925354,2.002589464187622
1,0.5625,1.5779805183410645,0.38325437903404236,2.008953809738159
2,0.4331345558166504,1.7217316627502441,0.4300640821456909,1.6431870460510254
3,0.53125,1.4298136234283447,0.4324324429035187,1.635299801826477
4,0.46322837471961975,1.56885826587677,0.46154919266700745,1.5558370351791382
5,0.40625,1.5030866861343384,0.4628030061721802,1.5481514930725098
6,0.4846043884754181,1.4974374771118164,0.4111173152923584,1.7844417095184326
7,0.53125,1.482094645500183,0.38687655329704285,1.9163380861282349
8,0.4944031834602356,1.4547991752624512,0.46224576234817505,1.59327232837677
9,0.53125,1.4291752576828003,0.46447479724884033,1.5884382724761963
10,0.5060153007507324,1.4253613948822021,0.43758708238601685,1.621152400970459
11,0.53125,1.4366962909698486,0.43842294812202454,1.613776445388794
12,0.5143494606018066,1.4098114967346191,0.5096126794815063,1.4538549184799194
13,0.5625,1.3986365795135498,0.5037614703178406,1.4894150495529175
14,0.5173484086990356,1.3851031064987183,0.514488697052002,1.4062312841415405
15,0.625,1.2180240154266357,0.514488697052002,1.4097851514816284
16,0.519475519657135,1.382965087890625,0.5086374878883362,1.4019230604171753
17,0.5625,1.3522067070007324,0.5069657564163208,1.3977081775665283
18,0.5258918404579163,1.3641902208328247,0.48397883772850037,1.4953672885894775
19,0.65625,1.1289678812026978,0.48899415135383606,1.4704759120941162
20,0.5288209915161133,1.3551615476608276,0.49958205223083496,1.4288030862808228
21,0.4375,1.3792672157287598,0.48899415135383606,1.4446814060211182
22,0.5336681008338928,1.3475780487060547,0.4908052384853363,1.4451181888580322
23,0.5,1.3698335886001587,0.4857899248600006,1.4564189910888672
24,0.5330752730369568,1.3403185606002808,0.5171356797218323,1.4000744819641113
25,0.59375,1.1836007833480835,0.5174143314361572,1.4034696817398071
26,0.5373644232749939,1.3319011926651,0.5245193839073181,1.4091002941131592
27,0.5625,1.2390788793563843,0.5181108713150024,1.4234882593154907
28,0.5382710695266724,1.3301340341567993,0.5044580698013306,1.4070345163345337
29,0.5,1.3341984748840332,0.5066871047019958,1.3991456031799316
